"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"204997_at",-2.32869404176156,8.01487172769657,-8.76099559603131,8.74526859159385e-14,5.26677891963475e-11,20.9567653600843
"206243_at",-2.40996091596205,7.98252621728675,-8.60954104824425,1.82268357953983e-13,1.04533083159132e-10,20.2480615418263
"209699_x_at",-2.64718109388352,10.7917386529245,-8.60876482911948,1.82955178530994e-13,1.04533083159132e-10,20.2444317909565
"203571_s_at",-2.63077447206978,8.40550690425554,-8.5800287487217,2.10283881677264e-13,1.17143893385362e-10,20.1100755096647
"201596_x_at",2.61675899881839,8.84095337631729,8.57267014753452,2.17914302386696e-13,1.18433765855677e-10,20.0756763078745
"209602_s_at",2.88856157076893,8.00742273946166,8.5011201686916,3.08131252907546e-13,1.63478302584258e-10,19.7413396052424
"219064_at",-1.58085014159587,10.1641749812233,-8.48991219123395,3.25305990261696e-13,1.68576590255846e-10,19.6889908798141
"213071_at",-2.84891051831529,8.79746094546661,-8.45962061954593,3.76653155937904e-13,1.90749142585553e-10,19.5475427464661
"207175_at",-1.9713093618258,11.2762380594312,-8.4486350099253,3.97209063920667e-13,1.96689101585427e-10,19.4962572941399
"216331_at",-1.69520415060019,8.20301780270433,-8.41840911364675,4.59725546523408e-13,2.22697051156111e-10,19.3551853664771
"214063_s_at",-2.63398245463724,8.30237930427812,-8.40383250056791,4.93291107871674e-13,2.33872462908607e-10,19.2871715647917
"210201_x_at",-1.44297334909984,9.927564487281,-8.39004747105914,5.27279181068618e-13,2.44778374828167e-10,19.2228628849106
"213068_at",-2.46601079582613,9.23208934848914,-8.38478412372631,5.40863886978368e-13,2.4596061211304e-10,19.1983118146297
"213693_s_at",2.3335340391315,7.94644148899438,8.25418600219145,1.01611988329923e-12,4.52843987191137e-10,18.5897009964566
"204570_at",-2.38400631375637,8.61770837597631,-8.23867318771863,1.09506437134274e-12,4.78457242875102e-10,18.517485515286
"209614_at",-1.81590324675132,8.62273606207342,-8.21406804305758,1.23300264498058e-12,5.28365344963505e-10,18.4029790106818
"216379_x_at",1.40746306579843,11.4496066779048,8.20915504875378,1.26255312870268e-12,5.30820214469467e-10,18.3801204349825
"209686_at",-1.57540572846744,8.54076491158733,-8.20140705853846,1.31059623498061e-12,5.40815109334683e-10,18.3440751949352
"209581_at",-2.05174408145086,9.06161731797536,-8.13822058024292,1.77690265089617e-12,7.19904032180352e-10,18.0502902657951
"203980_at",-1.92374522636528,11.8231431452984,-8.00942389247737,3.30121490425906e-12,1.31358878056437e-09,17.4524636748837
"204894_s_at",-1.83906333368346,10.1308360930145,-8.0002037756194,3.45069630376587e-12,1.3416972008378e-09,17.4097228761608
"204151_x_at",-1.79901248170568,11.5929674212759,-7.9977096452696,3.4922783130006e-12,1.3416972008378e-09,17.3981624111223
"203549_s_at",-1.34042089467347,11.7585927686181,-7.96719366991215,4.04330733189795e-12,1.52706808943529e-09,17.2567653034848
"209493_at",-1.53402166672662,10.0859664718946,-7.95478503981819,4.29139632772297e-12,1.59375307284418e-09,17.1992943124928
"213524_s_at",-1.50755164047952,11.2135720583913,-7.92621213725821,4.92181418025855e-12,1.79791451440494e-09,17.0670139467587
"202931_x_at",-1.53131901602259,8.60807604702694,-7.9151941721313,5.18883543708062e-12,1.82851225050707e-09,17.0160266435506
"211653_x_at",-2.55995631923133,9.57800074306178,-7.91493269613535,5.19534451812363e-12,1.82851225050707e-09,17.0148167686287
"209183_s_at",-2.01845458612097,9.02313800953285,-7.9126803300942,5.25175174045022e-12,1.82851225050707e-09,17.0043951306068
"204223_at",-1.6965284790992,9.60918813159082,-7.87653701657594,6.24497674492348e-12,2.14087410472508e-09,16.8372301717494
"209116_x_at",-3.26876965341862,10.2125081351452,-7.86330735562632,6.65352546415758e-12,2.24637133208823e-09,16.7760752588239
"213706_at",-2.21809407124217,8.57017663955349,-7.82455457589758,8.00979915575672e-12,2.66391574011533e-09,16.5970426500685
"204719_at",-2.69918821738394,9.46162001357574,-7.81242159788192,8.48853474488188e-12,2.77111510861238e-09,16.5410225209095
"205824_at",-1.23989086449016,6.81989225433229,-7.81016064782544,8.58084380443632e-12,2.77111510861238e-09,16.5305850531655
"208383_s_at",-2.68873354334673,8.85000635867767,-7.80450699402479,8.81606468096934e-12,2.80640527551485e-09,16.5044878905548
"214505_s_at",-1.79397020366403,9.21933675447337,-7.79514646824433,9.21970014219659e-12,2.89355744040235e-09,16.461287478029
"209016_s_at",2.86561362414048,6.83281813741308,7.76672027333869,1.05616812677205e-11,3.26869366234188e-09,16.3301545656287
"204159_at",-2.00749524158009,9.13559847800606,-7.7312898732575,1.25093856618811e-11,3.81844713292735e-09,16.1668368172102
"220061_at",-1.61584613087761,8.22009766337719,-7.72723325284743,1.27540401532032e-11,3.82290605625861e-09,16.148146774977
"211745_x_at",-2.66059269311128,10.1788172962724,-7.72538442671722,1.28671163765829e-11,3.82290605625861e-09,16.1396293167191
"218723_s_at",-1.41561539223797,9.79373820040145,-7.72258887691296,1.30399923912329e-11,3.82329145334004e-09,16.1267510926423
"58780_s_at",-1.84214984758236,8.78133248495841,-7.69013813285909,1.52240337248611e-11,4.40567718819584e-09,15.97732712084
"218736_s_at",-1.89037852514678,9.72691725398851,-7.67720836986116,1.61923916692188e-11,4.62583414827183e-09,15.9178247437204
"212112_s_at",-1.2390539144234,9.17139905939125,-7.65623400613627,1.7895198508076e-11,5.04757858677795e-09,15.8213438998876
"203065_s_at",-2.18054326745235,9.66248356527736,-7.63850168302044,1.94729471307994e-11,5.42394601144505e-09,15.7398178481821
"216594_x_at",-1.51380833985316,11.3577672602097,-7.6307133513835,2.02089403101941e-11,5.55945453002538e-09,15.7040224340318
"204134_at",-1.25107364875272,8.95267811726906,-7.61966863650759,2.13003319041e-11,5.78823531486659e-09,15.6532734490674
"221748_s_at",-1.21187812535561,11.6834722623284,-7.53675323791526,3.15980157519055e-11,8.48311548192423e-09,15.2727823866928
"211696_x_at",-1.63723823945708,11.7052193042347,-7.52520535439405,3.33797439257762e-11,8.85477183211989e-09,15.2198611763784
"201348_at",-1.43504925870935,11.4423915053475,-7.51498952906448,3.5039006413259e-11,9.18557858713707e-09,15.173059295565
"209160_at",-2.68925158447228,9.05535657321369,-7.49969651569273,3.76773456612708e-11,9.76237550430345e-09,15.1030234674566
"203323_at",-1.29782238139578,11.216863326781,-7.49206405390872,3.9067039473647e-11,1.00061016159917e-08,15.0680817312052
"209555_s_at",-2.42463216260005,10.7393402979056,-7.48785123642707,3.98557960699919e-11,1.00921216344049e-08,15.0487986757255
"202768_at",-2.11092256008163,9.4315706594466,-7.46753733674765,4.38869965164042e-11,1.09880218356745e-08,14.9558514125246
"203853_s_at",-1.04352803895289,9.69287272431592,-7.43646297008031,5.08508085819215e-11,1.25900951958995e-08,14.8137802025727
