"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant","significant"
"209581_at",-2.05174408145086,9.06161731797536,-8.13822058024292,1.77690265089617e-12,7.19904032180352e-10,18.0502902657951,"Yes",TRUE
"203980_at",-1.92374522636528,11.8231431452984,-8.00942389247737,3.30121490425906e-12,1.31358878056437e-09,17.4524636748837,"Yes",TRUE
"204894_s_at",-1.83906333368346,10.1308360930145,-8.0002037756194,3.45069630376587e-12,1.3416972008378e-09,17.4097228761608,"Yes",TRUE
"204151_x_at",-1.79901248170568,11.5929674212759,-7.9977096452696,3.4922783130006e-12,1.3416972008378e-09,17.3981624111223,"Yes",TRUE
"203549_s_at",-1.34042089467347,11.7585927686181,-7.96719366991215,4.04330733189795e-12,1.52706808943529e-09,17.2567653034848,"Yes",TRUE
"209493_at",-1.53402166672662,10.0859664718946,-7.95478503981819,4.29139632772297e-12,1.59375307284418e-09,17.1992943124928,"Yes",TRUE
"213524_s_at",-1.50755164047952,11.2135720583913,-7.92621213725821,4.92181418025855e-12,1.79791451440494e-09,17.0670139467587,"Yes",TRUE
"202931_x_at",-1.53131901602259,8.60807604702694,-7.9151941721313,5.18883543708062e-12,1.82851225050707e-09,17.0160266435506,"Yes",TRUE
"211653_x_at",-2.55995631923133,9.57800074306178,-7.91493269613535,5.19534451812363e-12,1.82851225050707e-09,17.0148167686287,"Yes",TRUE
"209183_s_at",-2.01845458612097,9.02313800953285,-7.9126803300942,5.25175174045022e-12,1.82851225050707e-09,17.0043951306068,"Yes",TRUE
"204223_at",-1.6965284790992,9.60918813159082,-7.87653701657594,6.24497674492348e-12,2.14087410472508e-09,16.8372301717494,"Yes",TRUE
"209116_x_at",-3.26876965341862,10.2125081351452,-7.86330735562632,6.65352546415758e-12,2.24637133208823e-09,16.7760752588239,"Yes",TRUE
"213706_at",-2.21809407124217,8.57017663955349,-7.82455457589758,8.00979915575672e-12,2.66391574011533e-09,16.5970426500685,"Yes",TRUE
"204719_at",-2.69918821738394,9.46162001357574,-7.81242159788192,8.48853474488188e-12,2.77111510861238e-09,16.5410225209095,"Yes",TRUE
"205824_at",-1.23989086449016,6.81989225433229,-7.81016064782544,8.58084380443632e-12,2.77111510861238e-09,16.5305850531655,"Yes",TRUE
"208383_s_at",-2.68873354334673,8.85000635867767,-7.80450699402479,8.81606468096934e-12,2.80640527551485e-09,16.5044878905548,"Yes",TRUE
"214505_s_at",-1.79397020366403,9.21933675447337,-7.79514646824433,9.21970014219659e-12,2.89355744040235e-09,16.461287478029,"Yes",TRUE
"204159_at",-2.00749524158009,9.13559847800606,-7.7312898732575,1.25093856618811e-11,3.81844713292735e-09,16.1668368172102,"Yes",TRUE
"220061_at",-1.61584613087761,8.22009766337719,-7.72723325284743,1.27540401532032e-11,3.82290605625861e-09,16.148146774977,"Yes",TRUE
"211745_x_at",-2.66059269311128,10.1788172962724,-7.72538442671722,1.28671163765829e-11,3.82290605625861e-09,16.1396293167191,"Yes",TRUE
"218723_s_at",-1.41561539223797,9.79373820040145,-7.72258887691296,1.30399923912329e-11,3.82329145334004e-09,16.1267510926423,"Yes",TRUE
"58780_s_at",-1.84214984758236,8.78133248495841,-7.69013813285909,1.52240337248611e-11,4.40567718819584e-09,15.97732712084,"Yes",TRUE
"218736_s_at",-1.89037852514678,9.72691725398851,-7.67720836986116,1.61923916692188e-11,4.62583414827183e-09,15.9178247437204,"Yes",TRUE
"212112_s_at",-1.2390539144234,9.17139905939125,-7.65623400613627,1.7895198508076e-11,5.04757858677795e-09,15.8213438998876,"Yes",TRUE
"203065_s_at",-2.18054326745235,9.66248356527736,-7.63850168302044,1.94729471307994e-11,5.42394601144505e-09,15.7398178481821,"Yes",TRUE
"216594_x_at",-1.51380833985316,11.3577672602097,-7.6307133513835,2.02089403101941e-11,5.55945453002538e-09,15.7040224340318,"Yes",TRUE
"204134_at",-1.25107364875272,8.95267811726906,-7.61966863650759,2.13003319041e-11,5.78823531486659e-09,15.6532734490674,"Yes",TRUE
"221748_s_at",-1.21187812535561,11.6834722623284,-7.53675323791526,3.15980157519055e-11,8.48311548192423e-09,15.2727823866928,"Yes",TRUE
"211696_x_at",-1.63723823945708,11.7052193042347,-7.52520535439405,3.33797439257762e-11,8.85477183211989e-09,15.2198611763784,"Yes",TRUE
"201348_at",-1.43504925870935,11.4423915053475,-7.51498952906448,3.5039006413259e-11,9.18557858713707e-09,15.173059295565,"Yes",TRUE
"209160_at",-2.68925158447228,9.05535657321369,-7.49969651569273,3.76773456612708e-11,9.76237550430345e-09,15.1030234674566,"Yes",TRUE
"203323_at",-1.29782238139578,11.216863326781,-7.49206405390872,3.9067039473647e-11,1.00061016159917e-08,15.0680817312052,"Yes",TRUE
"209555_s_at",-2.42463216260005,10.7393402979056,-7.48785123642707,3.98557960699919e-11,1.00921216344049e-08,15.0487986757255,"Yes",TRUE
"202768_at",-2.11092256008163,9.4315706594466,-7.46753733674765,4.38869965164042e-11,1.09880218356745e-08,14.9558514125246,"Yes",TRUE
"203853_s_at",-1.04352803895289,9.69287272431592,-7.43646297008031,5.08508085819215e-11,1.25900951958995e-08,14.8137802025727,"Yes",TRUE
"221747_at",-1.3324765920953,10.2165720368106,-7.40682628526831,5.8512126496384e-11,1.43277551068014e-08,14.6784095448474,"Yes",TRUE
"209298_s_at",-2.41481938948469,8.1772848180651,-7.40080450097462,6.02036874780486e-11,1.45817257399278e-08,14.6509194545653,"Yes",TRUE
"209612_s_at",-1.96689288327519,10.9733285476786,-7.38658748624353,6.43925846200476e-11,1.542860175364e-08,14.586038187047,"Yes",TRUE
"217414_x_at",-1.80799371780611,8.0390951302587,-7.37993255099539,6.64516694545921e-11,1.57525803240072e-08,14.5556776535952,"Yes",TRUE
"222351_at",-1.59823019350339,8.49269550732283,-7.37132156835491,6.92133300535603e-11,1.62345329850893e-08,14.5164031009797,"Yes",TRUE
"206488_s_at",-1.67390758690663,11.1316740437417,-7.35782238932716,7.37738947043784e-11,1.7123996830184e-08,14.4548556817749,"Yes",TRUE
"209458_x_at",-2.5105721114828,9.39504148169286,-7.34131161623252,7.975950320858e-11,1.83224846391421e-08,14.3796143935738,"Yes",TRUE
"209496_at",-2.17508547815098,9.26190294719072,-7.33664427197484,8.15373399428912e-11,1.85397606729331e-08,14.3583522691458,"Yes",TRUE
"212886_at",-2.30763207247276,7.01133198003587,-7.32041253725323,8.80322083693957e-11,1.96162169909525e-08,14.2844342196435,"Yes",TRUE
"205498_at",-1.07591481344037,10.7553648168588,-7.3103485031665,9.23146059924237e-11,2.03667956963285e-08,14.2386236175445,"Yes",TRUE
"209512_at",-1.47978691554982,8.31324133977556,-7.20496220888689,1.51662568247488e-10,3.21856857929407e-08,13.7598705033537,"Yes",TRUE
"204042_at",-1.00322494743046,11.0528814308375,-7.16939864493498,1.79251971359524e-10,3.76818082811723e-08,13.5987173923771,"Yes",TRUE
"209616_s_at",-1.60420553027443,7.73480900390084,-7.11162289518426,2.350665924861e-10,4.76180807306161e-08,13.3373670835158,"Yes",TRUE
"210078_s_at",-1.25073952492448,6.45885066942406,-7.09780387489222,2.50791605970487e-10,5.03458500526158e-08,13.274941680004,"Yes",TRUE
"216894_x_at",-1.41809129672758,8.11387381387258,-7.07993712783691,2.72678687928593e-10,5.42508857420788e-08,13.1942809644199,"Yes",TRUE
"203812_at",-1.04297720798112,8.94481368577055,-7.04566292972172,3.20104746011707e-10,6.31229562422909e-08,13.0397065593705,"Yes",TRUE
"217232_x_at",-1.77833467899574,11.1440741148562,-7.03572864310762,3.35320859778383e-10,6.55434624424712e-08,12.9949431023162,"Yes",TRUE
"206030_at",-1.71645858934463,7.67299823716242,-7.02784516249268,3.47904535846355e-10,6.74117980196898e-08,12.9594332569606,"Yes",TRUE
"203414_at",-1.03562997878647,11.1017545686256,-7.01028065892086,3.77650346213088e-10,7.25446781436745e-08,12.8803577448298,"Yes",TRUE
"213348_at",-1.03255676740689,10.708051757937,-6.99326976108122,4.08859105146798e-10,7.78684396580008e-08,12.8038288423102,"Yes",TRUE
"214439_x_at",-1.28875220332992,9.5026544204862,-6.97782296411444,4.39407011867658e-10,8.22798860961936e-08,12.7343832469314,"Yes",TRUE
"209763_at",-1.09390801082851,10.9956973058952,-6.95392631610658,4.91180533568721e-10,9.12081319125984e-08,12.6270373904712,"Yes",TRUE
"209613_s_at",-2.28371547968277,10.5952203151455,-6.94138125574868,5.2073623582969e-10,9.51111929753523e-08,12.5707273312118,"Yes",TRUE
"218124_at",-1.12590947555788,10.8858596726411,-6.91922882660884,5.77294409560922e-10,1.04584157140212e-07,12.4713672784067,"Yes",TRUE
"212636_at",-1.11155799128251,10.2617793870844,-6.86849370812864,7.30805857880677e-10,1.2858713635186e-07,12.2441666516561,"Yes",TRUE
"206068_s_at",-1.53909830123904,8.6531356205802,-6.7892799327754,1.05499854888881e-09,1.82236687324724e-07,11.8904669602235,"Yes",TRUE
"213764_s_at",-2.68468341502545,7.4212926998854,-6.77931653783384,1.10476174488782e-09,1.89364661241041e-07,11.846070569702,"Yes",TRUE
"201540_at",-1.08924693702572,12.0314960194854,-6.74337581731837,1.30437182473065e-09,2.18536220830625e-07,11.6860941086767,"Yes",TRUE
"213486_at",-1.15689870746707,10.3128536954193,-6.70230553917371,1.57647372445149e-09,2.54554811608352e-07,11.5036232606356,"Yes",TRUE
"210517_s_at",-1.46302916026648,10.4129297412789,-6.6738842774471,1.79696213329166e-09,2.88069836087324e-07,11.3775655088955,"Yes",TRUE
"213247_at",-1.0503417272587,9.33577911207802,-6.66912759323993,1.83673537174078e-09,2.92342673489284e-07,11.3564854206568,"Yes",TRUE
"213933_at",-1.45995853042767,10.5059059299106,-6.64911370895262,2.01385017189357e-09,3.16018474509186e-07,11.2678454689749,"Yes",TRUE
"204731_at",-1.62987200632168,9.86746664158422,-6.62448481580299,2.25514766681941e-09,3.48968440692617e-07,11.1588892711685,"Yes",TRUE
"206100_at",-1.25902429458103,9.05248108047003,-6.60866225131681,2.42504040835450e-09,3.72670175305953e-07,11.0889640401406,"Yes",TRUE
"209210_s_at",-1.21465824580959,11.4665502978999,-6.59965369838459,2.52736381221433e-09,3.85734574161451e-07,11.0491777628364,"Yes",TRUE
"203324_s_at",-1.7890612605493,9.50675013450993,-6.58959080001681,2.64671983864637e-09,4.01203116765694e-07,11.0047570132584,"Yes",TRUE
"204848_x_at",-1.16753417695988,6.97336009645725,-6.57088639091323,2.88357707824902e-09,4.31239919695456e-07,10.9222521553009,"Yes",TRUE
"205022_s_at",-1.69462815677752,6.88896440118298,-6.56926016781914,2.90513482573551e-09,4.31567462145763e-07,10.9150827513898,"Yes",TRUE
"210375_at",-1.28527814337311,9.21812729225128,-6.55865755674391,3.04964743928074e-09,4.50035058870813e-07,10.8683549799477,"Yes",TRUE
"213451_x_at",-1.37760289497007,7.48207612974819,-6.55324343272729,3.12616128033926e-09,4.58291130327629e-07,10.8445040361406,"Yes",TRUE
"207275_s_at",-1.18554331228469,10.3609907190354,-6.52252345969885,3.59765049390723e-09,5.13887474075222e-07,10.7093037433344,"Yes",TRUE
"206093_x_at",-1.46221614498771,7.4903467204747,-6.51458218677111,3.73056342222123e-09,5.29478628900354e-07,10.6743902552706,"Yes",TRUE
"202464_s_at",-1.26888401995496,10.6597236788089,-6.5118642381904,3.77715992240881e-09,5.32699079436933e-07,10.6624443699364,"Yes",TRUE
"219298_at",-1.7849594807616,8.03232106827357,-6.49667925361727,4.04827949372661e-09,5.63798824741938e-07,10.5957362280343,"Yes",TRUE
"204419_x_at",-1.75380520092637,8.28792284970134,-6.48100435285011,4.34832872409176e-09,5.94440545760347e-07,10.5269343084019,"Yes",TRUE
"212071_s_at",-1.14894843695123,10.9454919310986,-6.46839111685273,4.60564965119121e-09,6.25778604740815e-07,10.4716143782652,"Yes",TRUE
"206201_s_at",-2.3020844747187,6.60087212444266,-6.46512418701564,4.67471660907502e-09,6.31313395151628e-07,10.4572924139303,"Yes",TRUE
"201539_s_at",-1.34799886749337,8.69623484280462,-6.46212836590935,4.73895146117129e-09,6.36132863911325e-07,10.4441612701301,"Yes",TRUE
"208789_at",-1.59990445903271,10.2684001688433,-6.3913084844031,6.53914783549718e-09,8.57128418931668e-07,10.1343959290736,"Yes",TRUE
"204326_x_at",-1.13379731924363,10.4020240161066,-6.37670692597688,6.98694252943056e-09,9.10468072416966e-07,10.0706859241501,"Yes",TRUE
"203986_at",-1.44431968211785,9.36151267249806,-6.36740558251381,7.28785162069142e-09,9.44158125952715e-07,10.0301304037515,"Yes",TRUE
"203400_s_at",-1.67876942719491,8.70758178105886,-6.33024414472646,8.62321425744261e-09,1.10431657068157e-06,9.86832263262205,"Yes",TRUE
"218031_s_at",-1.64225676765549,7.45920550202639,-6.32224747242332,8.94073418518344e-09,1.13843645627682e-06,9.83355062169757,"Yes",TRUE
"212097_at",-1.55668279406143,11.2919388459517,-6.28616349695893,1.05232013750981e-08,1.31735110247928e-06,9.67685583199821,"Yes",TRUE
"221246_x_at",-1.09073873815885,10.3369948801884,-6.25432197718969,1.21473334697136e-08,1.5037723983646e-06,9.53887214330105,"Yes",TRUE
"201719_s_at",-1.26572935346366,9.9200867070693,-6.23726773380506,1.31165420358833e-08,1.61478401207507e-06,9.46508096352965,"Yes",TRUE
"218625_at",-1.14403964002086,9.82508510832495,-6.23491681858532,1.3255998221798e-08,1.62298576030948e-06,9.45491510788687,"Yes",TRUE
"205609_at",-1.08426491074309,9.73211788769535,-6.22947727830297,1.35843066907273e-08,1.65409347535233e-06,9.43139916876761,"Yes",TRUE
"221295_at",-1.16671211313898,9.46021073209614,-6.22366455803715,1.39440108516584e-08,1.68866518373644e-06,9.4062788656743,"Yes",TRUE
"213364_s_at",-1.12239402829805,6.99070952956116,-6.20521627692176,1.51490409379998e-08,1.82468150930513e-06,9.32661411756229,"Yes",TRUE
"212653_s_at",-1.56164997784922,9.37444111522344,-6.19803824514216,1.56451867800987e-08,1.87431019903731e-06,9.29564280024207,"Yes",TRUE
"211699_x_at",-1.93502471312359,9.18235751257392,-6.1960589687927,1.5784792052838e-08,1.8809225738684e-06,9.28710525658375,"Yes",TRUE
"212419_at",-1.12855477962203,10.1415312374329,-6.17729327621538,1.71709902900363e-08,2.01379566648884e-06,9.20621424916108,"Yes",TRUE
"203337_x_at",-1.65221594227847,9.37977607122339,-6.16553462152844,1.81000933034436e-08,2.10064780771164e-06,9.15557784014711,"Yes",TRUE
"218175_at",-1.35902941489918,7.96976356395736,-6.13738040947083,2.05310064513713e-08,2.34611495772259e-06,9.03449562757254,"Yes",TRUE
"203851_at",-1.35634456045171,9.36033592786396,-6.11625058714009,2.25643587857022e-08,2.54676624690547e-06,8.94377130008336,"Yes",TRUE
"209513_s_at",-1.50177860689495,9.14284657443569,-6.0862349643982,2.57982832265435e-08,2.8458571541439e-06,8.8151154169064,"Yes",TRUE
"208607_s_at",-2.18414471626748,8.55890215529977,-6.0689802912224,2.78598962506876e-08,3.05813826676883e-06,8.74127538012699,"Yes",TRUE
"222161_at",-1.41162811984064,5.69235248771723,-6.03146016148235,3.29197723394736e-08,3.52668888000235e-06,8.58101344521495,"Yes",TRUE
"210869_s_at",-1.35944168900459,9.54271481303405,-6.0300289820713,3.31297359507746e-08,3.53220050809144e-06,8.57490863729183,"Yes",TRUE
"200878_at",-1.61520525738115,10.5001734414404,-6.02363333284218,3.40842611070936e-08,3.59952412440458e-06,8.54763497090023,"Yes",TRUE
"219093_at",-1.49883732275918,8.53571936069034,-6.00672105439424,3.67408866081215e-08,3.8467101997673e-06,8.47557317482351,"Yes",TRUE
"204018_x_at",-1.74934640507693,9.04987539272713,-6.006541547055,3.67701509020525e-08,3.8467101997673e-06,8.47480877053171,"Yes",TRUE
"201842_s_at",-1.02191118117748,11.5834206348666,-5.99142973468464,3.93179024661015e-08,4.09402252641187e-06,8.41049235847102,"Yes",TRUE
"210299_s_at",-1.74013731449,9.91321405511764,-5.96566623934414,4.40683171799221e-08,4.52522724295025e-06,8.30100200916415,"Yes",TRUE
"213236_at",-1.21606024361571,9.10008194231002,-5.94979083946094,4.72724786481858e-08,4.78805746235238e-06,8.23363557315174,"Yes",TRUE
"210762_s_at",-1.04529046115887,10.5330279047938,-5.91092832410584,5.61164459451479e-08,5.58233377230237e-06,8.06905396014681,"Yes",TRUE
"213397_x_at",-1.06900973329079,10.5018061881058,-5.89997357154473,5.88911419175334e-08,5.80651024490441e-06,8.02274619497701,"Yes",TRUE
"213765_at",-1.41031584475124,9.17366403023535,-5.89277064537086,6.07886962614422e-08,5.94102859120051e-06,7.9923186949843,"Yes",TRUE
"200973_s_at",-1.57037225186076,7.0821062542606,-5.88763752904687,6.217757792843e-08,6.05023130558605e-06,7.97064475025406,"Yes",TRUE
"210740_s_at",-1.23544042414886,9.38176125422282,-5.88417690102944,6.31315093365237e-08,6.11634531541634e-06,7.95603738880293,"Yes",TRUE
"213309_at",-1.17413153361684,8.17155829472581,-5.86218258049278,6.95399983946561e-08,6.62205035994923e-06,7.8632880714592,"Yes",TRUE
"203680_at",-1.56194036555453,10.2363722445773,-5.8517279788403,7.28065792018353e-08,6.90361278448721e-06,7.81925557572803,"Yes",TRUE
"202982_s_at",-1.87596381434675,7.44509288738312,-5.83978147117594,7.67244227666249e-08,7.22914753987534e-06,7.76898252187263,"Yes",TRUE
"203881_s_at",-1.14768746037011,9.36627389125638,-5.83562791828695,7.8134596250271e-08,7.31543364808735e-06,7.75151441351856,"Yes",TRUE
"202942_at",-1.65993622032187,8.55850107660542,-5.82777446725457,8.08709620282002e-08,7.5085318619766e-06,7.71850134273577,"Yes",TRUE
"210832_x_at",-1.20535052046435,9.71080425239597,-5.82127393822281,8.32070717714189e-08,7.69337419204368e-06,7.69119060861338,"Yes",TRUE
"215039_at",-1.25799999590918,9.6521632695619,-5.80236330707966,9.03870633554676e-08,8.28845651337401e-06,7.61181952304688,"Yes",TRUE
"211922_s_at",-1.49526214415382,8.7206633974639,-5.78427914868521,9.7821831828436e-08,8.896995422992e-06,7.53602696943015,"Yes",TRUE
"212122_at",-1.42045133671092,8.05782342186101,-5.7607570930213,1.08397944236208e-07,9.70052767636717e-06,7.43760538854295,"Yes",TRUE
"211458_s_at",-1.74810185610374,9.02077925611353,-5.75694520768667,1.10214606931935e-07,9.82364834505726e-06,7.42167292694127,"Yes",TRUE
"203296_s_at",-1.36737832649095,8.67922923884538,-5.7477357963334,1.1472804739517e-07,1.01046841110932e-05,7.38320056972373,"Yes",TRUE
"203336_s_at",-1.37118394936706,9.00326600711701,-5.74204277304628,1.1760851461985e-07,1.03176005168272e-05,7.35943215022899,"Yes",TRUE
"201325_s_at",-1.36331575491821,10.0411907101616,-5.70951468319855,1.35482551545844e-07,1.17013864189769e-05,7.22383665839138,"Yes",TRUE
"212230_at",-1.16498923691397,10.1409342069699,-5.69035375792706,1.47233981517845e-07,1.25221939319166e-05,7.14413127162364,"Yes",TRUE
"205208_at",-1.49828328977869,6.32969166612519,-5.67117862345457,1.59995332876031e-07,1.34534943489683e-05,7.06449277510971,"Yes",TRUE
"220327_at",-1.11177739628141,9.0492207255714,-5.63869449783152,1.84137359678457e-07,1.52532817312828e-05,6.92986943440362,"Yes",TRUE
"209894_at",-1.35112445524018,8.66168057206392,-5.62600200673977,1.94512929420769e-07,1.5935042670158e-05,6.87736820266186,"Yes",TRUE
"209086_x_at",-1.04392834130187,8.9939568493534,-5.62441186750009,1.95852606310479e-07,1.59860206095839e-05,6.87079473455898,"Yes",TRUE
"202862_at",-1.02601906003155,9.14201694874135,-5.61874550407058,2.00700542105579e-07,1.62625824717768e-05,6.8473778187391,"Yes",TRUE
"214212_x_at",-1.35486294694823,7.8683306875755,-5.60343533551681,2.14396400966204e-07,1.73094021838041e-05,6.784163401976,"Yes",TRUE
"222043_at",-1.11674528905112,10.1337830680926,-5.58229998826008,2.34821453643374e-07,1.87243841644963e-05,6.6970339414563,"Yes",TRUE
"219054_at",-1.11214932178111,9.69417533646523,-5.58184280599312,2.35283739445271e-07,1.87243841644963e-05,6.695150988684,"Yes",TRUE
"201465_s_at",-1.60558388588527,7.31248359084065,-5.58080868714193,2.36332700351968e-07,1.87409308254196e-05,6.69089213814613,"Yes",TRUE
"201963_at",-1.88844315597808,10.5799628593929,-5.57730784923886,2.39917971429631e-07,1.89175067725243e-05,6.67647734513011,"Yes",TRUE
"213221_s_at",-1.0755223590037,8.12075412863077,-5.53056289232189,2.93223929674041e-07,2.26086810551096e-05,6.48442652816517,"Yes",TRUE
"212875_s_at",-1.12298747178614,10.8093235640424,-5.4949070535411,3.4154180964928e-07,2.59746626089246e-05,6.33846976251473,"Yes",TRUE
"205932_s_at",-1.10233385376084,8.43943172937357,-5.4862232361971,3.54444401020302e-07,2.68642332922972e-05,6.30299351757544,"Yes",TRUE
"205559_s_at",-1.57022123256719,8.06421894044101,-5.46536907740725,3.87413885818092e-07,2.89942833550823e-05,6.21791171719566,"Yes",TRUE
"202724_s_at",-1.27197335360046,9.41675687100844,-5.4481782732812,4.16837114521644e-07,3.03541876564895e-05,6.1478978909484,"Yes",TRUE
"212013_at",-1.21530987064236,9.63246995498499,-5.40087332008953,5.09577787674774e-07,3.58442539525671e-05,5.95581202351264,"Yes",TRUE
"209540_at",-1.53448987994537,9.34839465850198,-5.37139537278383,5.77295505844276e-07,4.03256293314358e-05,5.83654598866035,"Yes",TRUE
"205200_at",-1.2756900640227,8.90208120269148,-5.3636957308421,5.96388472933483e-07,4.15291385699275e-05,5.80544885372508,"Yes",TRUE
"201324_at",-1.01639010884293,10.7781565991892,-5.35186998267042,6.26923332860471e-07,4.31164587226231e-05,5.75773205551851,"Yes",TRUE
